,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당율(%),배당성향(%),회사명
2021.12,8538.0,1565.0,1178.0,18.33,13.79,10.58,658.69,,499.0,3038.0,4.06,29950.0,0.41,800.0,6.48,24.05,현대차증권
2022.12(E),,,,,,,,,,,,,,,,,현대차증권
2019.12,20684.0,1180.0,2193.0,5.7,10.6,32.69,207.16,63.18,470.48,7569.0,1.59,26621.0,0.45,350.0,2.92,4.66,KG케미칼
2020.12,36864.0,2430.0,1547.0,6.59,4.2,11.94,186.77,65.06,528.02,3319.0,7.19,29528.0,0.81,400.0,1.68,11.99,KG케미칼
2021.12,49315.0,4672.0,2820.0,9.47,5.72,17.39,173.28,62.54,637.85,5389.0,5.71,34343.0,0.9,500.0,1.63,9.27,KG케미칼
2022.12(E),,,,,,,,,,,,,,,,,KG케미칼
2019.12,7572.0,213.0,322.0,2.82,4.25,4.13,52.0,67.54,2990.05,6088.0,14.59,182083.0,0.49,4000.0,4.5,53.38,조선내화
2020.12,7052.0,229.0,397.0,3.25,5.63,5.55,70.11,72.54,3088.44,8391.0,9.61,192878.0,0.42,4200.0,5.21,40.04,조선내화
2021.12,7463.0,331.0,334.0,4.44,4.47,3.91,71.09,62.87,3199.95,6265.0,12.93,207776.0,0.39,4500.0,5.56,57.46,조선내화
2022.12(E),,,,,,,,,,,,,,,,,조선내화
2019.12,7233.0,161.0,67.0,2.23,0.93,0.83,35.06,107.98,6822.14,294.0,39.1,36136.0,0.32,175.0,1.52,59.28,세방
2020.12,8422.0,164.0,326.0,1.95,3.87,3.89,36.46,106.1,7072.24,1415.0,8.24,37756.0,0.31,190.0,1.63,13.21,세방
2021.12,10577.0,292.0,524.0,2.76,4.96,6.01,38.8,114.53,7558.05,2280.0,5.24,40550.0,0.29,200.0,1.67,8.46,세방
2022.12(E),,,,,,,,,,,,,,,,,세방
2019.12,31868.0,688.0,116.0,2.16,0.36,1.26,180.09,74.72,1800.1,1156.0,47.3,91606.0,0.6,250.0,0.46,22.02,LX하우시스
2020.12,30380.0,710.0,-795.0,2.34,-2.62,-8.8,184.92,82.52,1645.22,-7712.0,-10.11,83945.0,0.93,300.0,0.38,-3.95,LX하우시스
2021.12,34720.0,673.0,127.0,1.94,0.36,1.54,195.04,64.77,1668.16,1309.0,46.98,86527.0,0.71,300.0,0.49,23.27,LX하우시스
2022.12(E),36766.0,368.0,-345.0,1.0,-0.94,-4.03,,,,-3430.0,-9.87,83955.0,0.4,300.0,,,LX하우시스
2019.12,46083.0,1063.0,-524.0,2.31,-1.14,-3.63,198.76,85.82,3420.56,-6293.0,-7.68,197299.0,0.24,2200.0,4.55,-29.47,E1
2020.12,39276.0,395.0,563.0,1.01,1.43,5.18,200.08,57.03,3562.15,8788.0,5.08,204909.0,0.22,2200.0,4.93,21.1,E1
2021.12,51523.0,56.0,1386.0,0.11,2.69,10.57,191.2,87.55,3905.82,19207.0,2.51,226210.0,0.21,2200.0,4.56,9.65,E1
2022.12(E),,,,,,,,,,,,,,,,,E1
2019.12,484.0,-13.0,67.0,-2.6,13.88,2.01,6.95,1350.66,3145.9,2526.0,32.5,225255.0,0.36,750.0,0.91,17.12,일성신약
2020.12,406.0,-19.0,32.0,-4.8,7.93,0.93,6.83,1452.52,3162.53,1211.0,68.31,226551.0,0.37,750.0,0.91,35.72,일성신약
2021.12,421.0,-18.0,-14.0,-4.27,-3.25,-0.39,7.36,1244.1,3149.23,-514.0,-143.55,225529.0,0.33,750.0,1.02,-84.12,일성신약
2022.12(E),,,,,,,,,,,,,,,,,일성신약
2019.12,2896.0,210.0,169.0,7.27,5.82,20.97,95.29,186.89,420.86,517.0,6.77,2619.0,1.34,227.0,6.49,43.91,한전산업
2020.12,3293.0,190.0,135.0,5.78,4.09,16.2,96.66,162.02,410.93,419.0,11.37,2553.0,1.87,208.0,4.37,49.65,한전산업
2021.12,3211.0,175.0,86.0,5.46,2.67,10.22,91.68,167.49,420.56,264.0,46.16,2617.0,4.66,198.0,1.62,74.92,한전산업
2022.12(E),,,,,,,,,,,,,,,,,한전산업
2019.12,1884.0,78.0,163.0,4.12,8.64,11.03,59.49,96.47,11081.13,6591.0,6.24,62937.0,0.65,400.0,0.97,6.07,미원홀딩스
2020.12,2890.0,218.0,237.0,7.54,8.19,11.35,67.08,86.18,12312.51,7556.0,10.23,70128.0,1.1,500.0,0.65,6.61,미원홀딩스
2021.12,4214.0,297.0,402.0,7.05,9.55,18.16,81.04,68.98,15325.98,14283.0,10.61,87327.0,1.73,500.0,0.33,3.49,미원홀딩스
2022.12(E),,,,,,,,,,,,,,,,,미원홀딩스
2019.12,1911.0,64.0,50.0,3.37,2.59,4.62,91.56,41.12,1878.7,450.0,9.84,9893.0,0.45,110.0,2.48,24.43,삼아알미늄
2020.12,1970.0,74.0,35.0,3.75,1.78,3.2,88.0,43.1,1907.17,319.0,36.18,10036.0,1.15,100.0,0.87,31.32,삼아알미늄
2021.12,2530.0,154.0,122.0,6.11,4.8,10.46,86.22,50.41,2118.69,1105.0,24.44,11093.0,2.43,200.0,0.74,18.1,삼아알미늄
2022.12(E),,,,,,,,,,,,,,,,,삼아알미늄
2019.12,5367.0,413.0,366.0,7.69,6.82,4.03,31.92,59.43,3888.35,7887.0,9.95,198514.0,0.4,2000.0,2.55,25.36,농심홀딩스
2020.12,5836.0,740.0,685.0,12.68,11.73,7.23,28.21,61.21,4134.85,14746.0,5.25,209586.0,0.37,2000.0,2.58,13.56,농심홀딩스
2021.12,6415.0,558.0,492.0,8.69,7.66,4.88,27.89,58.43,4312.01,10581.0,7.16,223666.0,0.34,2000.0,2.64,18.9,농심홀딩스
2022.12(E),,,,,,,,,,,,,,,,,농심홀딩스
2019.12,1136,45,-42,3.98,-3.74,-3.48,40.16,100.48,204.78,-55,-24.69,1562,0.88,-,-,-,YG PLUS
2020.12,1071,61,-75,5.73,-6.97,-6.94,44.96,98.61,193.56,-106,-47.73,1487,3.40,,,-,YG PLUS
2021.12,1543.0,256.0,226.0,16.57,14.66,19.57,53.12,101.86,307.64,347.0,22.97,2125.0,3.76,,,,YG PLUS
2022.12(E),,,,,,,,,,,,,,,,,YG PLUS
2019.12,2263,50,74,2.19,3.28,3.66,109.72,144.34,139.77,58,12.38,1531,0.47,-,-,-,삼부토건
2020.12,3794,-78,-211,-2.07,-5.57,-8.73,169.92,97.11,53.97,-127,-36.04,1397,3.28,-,-,-,삼부토건
2021.12,3570,-44,80,-1.22,2.24,3.67,131.23,113.24,80.93,59,39.63,1670,1.39,,,-,삼부토건
2022.12(E),,,,,,,,,,,,,,,,,삼부토건
2019.12,2922.0,-238.0,-372.0,-8.14,-12.73,-14.91,150.05,56.68,1163.63,-1946.0,-5.44,12183.0,0.87,95.0,0.9,-4.79,일동홀딩스
2020.12,5965.0,-92.0,-313.0,-1.54,-5.24,-14.74,165.37,56.45,944.98,-1662.0,-8.33,10867.0,1.27,100.0,0.72,-5.89,일동홀딩스
2021.12,5924.0,-828.0,-1347.0,-13.98,-22.74,-80.54,402.22,50.99,327.64,-6143.0,-2.41,4723.0,3.13,100.0,0.68,-1.59,일동홀딩스
2022.12(E),,,,,,,,,,,,,,,,,일동홀딩스
2019.12,6313.0,494.0,104.0,7.83,1.64,1.64,117.6,42.7,294.04,162.0,26.08,9842.0,0.43,175.0,4.14,108.01,무림P&P
2020.12,5279.0,63.0,-76.0,1.2,-1.43,-1.43,137.84,52.94,281.77,-139.0,-26.13,9521.0,0.38,125.0,3.45,-90.22,무림P&P
2021.12,6137.0,294.0,197.0,4.79,3.21,3.09,139.7,42.22,291.76,298.0,14.54,9788.0,0.44,125.0,2.88,41.93,무림P&P
2022.12(E),7675.0,620.0,395.0,8.08,5.15,5.88,,,,585.0,7.8,10102.0,0.45,152.0,,,무림P&P
2019.12,2929.0,408.0,378.0,13.93,12.91,5.19,9.71,216.67,1281.96,335.0,10.18,6731.0,0.51,60.0,1.76,17.49,현대퓨처넷
2020.12,396.0,-169.0,-406.0,-42.75,-102.49,-4.12,26.76,145.93,1203.81,-261.0,-14.75,6264.0,0.62,80.0,2.08,-29.87,현대퓨처넷
2021.12,1367.0,74.0,851.0,5.42,62.27,12.79,20.56,57.94,1354.22,826.0,5.1,6969.0,0.6,90.0,2.14,10.64,현대퓨처넷
2022.12(E),,,,,,,,,,,,,,,,,현대퓨처넷
2019.12,1563,-130,-160,-8.30,-10.21,-10.27,56.83,78.91,2432.33,-2943,-6.85,35259,0.57,-,-,-,대한방직
2020.12,1752,36,26,2.03,1.51,2.04,56.85,111.79,2468.35,506,79.01,37951,1.05,-,-,-,대한방직
2021.12,2004.0,54.0,16.0,2.7,0.78,1.13,66.79,96.67,2515.66,294.0,168.3,38608.0,1.28,,,,대한방직
2022.12(E),,,,,,,,,,,,,,,,,대한방직
2019.12,5161.0,271.0,174.0,5.24,3.37,6.93,61.92,120.33,1447.72,516.0,17.32,7537.0,1.18,250.0,2.8,48.2,도화엔지니어링
2020.12,5749.0,240.0,178.0,4.18,3.1,7.0,75.86,115.76,1488.94,529.0,15.41,7617.0,1.07,280.0,3.44,52.26,도화엔지니어링
2021.12,5774.0,200.0,150.0,3.46,2.6,5.75,87.4,110.65,1527.74,445.0,17.18,7976.0,0.96,280.0,3.66,62.09,도화엔지니어링
2022.12(E),,,,,,,,,,,,,,,,,도화엔지니어링
2019.12,2644.0,108.0,242.0,4.08,9.14,3.39,29.95,63.39,1596.14,2108.0,11.09,70954.0,0.33,963.0,4.12,37.88,풍산홀딩스
2020.12,2659.0,94.0,131.0,3.54,4.92,1.92,33.99,48.0,1622.29,1205.0,16.28,71568.0,0.27,826.0,4.21,56.78,풍산홀딩스
2021.12,4878.0,968.0,1738.0,19.85,35.62,21.53,17.37,115.1,1410.0,16510.0,1.71,91007.0,0.31,1400.0,4.95,7.89,풍산홀딩스
2022.12(E),3950.0,905.0,900.0,22.91,22.79,9.7,,,,8608.0,3.1,100339.0,0.27,1500.0,,,풍산홀딩스
2019.12,4995.0,819.0,711.0,16.39,14.23,10.27,81.8,60.5,4790.73,2178.0,10.36,22952.0,0.98,195.0,0.86,9.65,한국콜마홀딩스
2020.12,6755.0,1575.0,1551.0,23.32,22.96,21.96,54.71,84.96,6240.25,5776.0,4.49,29865.0,0.87,205.0,0.79,3.55,한국콜마홀딩스
2021.12,6740.0,884.0,586.0,13.11,8.7,3.61,41.55,73.99,6627.82,1108.0,17.74,31792.0,0.62,245.0,1.25,22.01,한국콜마홀딩스
2022.12(E),,,,,,,,,,,,,,,,,한국콜마홀딩스
2019.12,2319.0,78.0,56.0,3.37,2.41,5.17,72.19,82.58,819.59,233.0,14.86,4597.0,0.75,162.0,4.68,68.31,그린케미칼
2020.12,2424.0,147.0,103.0,6.07,4.27,9.33,56.17,119.86,866.55,431.0,23.14,4855.0,2.05,210.0,2.11,47.36,그린케미칼
2021.12,2862.0,209.0,159.0,7.29,5.56,13.46,71.56,85.58,951.21,664.0,13.97,5290.0,1.75,220.0,2.37,32.22,그린케미칼
2022.12(E),,,,,,,,,,,,,,,,,그린케미칼
2019.12,6332,-378,-729,-5.98,-11.52,-56.00,811.83,39.15,120.25,-2451,-4.41,3639,2.97,,,-,에어부산
2020.12,1899,-1887,-1285,-99.35,-67.65,,838.17,25.40,42.37,-4240,-1.58,2575,2.60,-,-,-,에어부산
2021.12,1765.0,-2040.0,-2660.0,-115.56,-150.68,-220.9,673.56,27.11,-60.24,-5374.0,-1.1,1694.0,3.49,,,,에어부산
2022.12(E),,,,,,,,,,,,,,,,,에어부산
2019.12,10308.0,4.0,292.0,0.04,2.84,3.25,15.8,297.33,20997.99,32968.0,13.33,1077820.0,0.41,1000.0,0.23,2.92,남양유업
2020.12,9489.0,-767.0,-528.0,-8.09,-5.56,-5.91,14.64,230.88,20117.99,-59495.0,-4.79,1031726.0,0.28,1000.0,0.35,-1.62,남양유업
2021.12,9561.0,-779.0,-589.0,-8.14,-6.16,-6.98,15.31,276.55,18758.63,-66419.0,-6.13,960522.0,0.42,1000.0,0.25,-1.45,남양유업
2022.12(E),,,,,,,,,,,,,,,,,남양유업
2019.12,11643.0,19.0,66.0,0.17,0.57,2.24,169.71,65.99,1709.31,190.0,17.19,9103.0,0.36,50.0,1.53,24.79,화신
2020.12,10855.0,-113.0,-542.0,-1.04,-5.0,-19.53,221.78,59.13,1408.75,-1553.0,-2.18,7765.0,0.44,50.0,1.48,-3.04,화신
2021.12,12366.0,242.0,244.0,1.95,1.97,8.96,201.88,58.36,1575.61,698.0,11.92,8760.0,0.95,70.0,0.84,9.45,화신
2022.12(E),15794.0,766.0,720.0,4.85,4.56,22.21,,,,2062.0,4.01,10934.0,0.76,70.0,,,화신
2019.12,4545.0,198.0,144.0,4.37,3.16,5.29,42.07,130.25,1214.46,343.0,10.92,6756.0,0.55,100.0,2.67,29.3,NPC
2020.12,4313.0,207.0,189.0,4.8,4.37,6.53,39.0,139.95,1284.36,449.0,7.3,7023.0,0.47,100.0,3.05,22.36,NPC
2021.12,4869.0,283.0,262.0,5.81,5.38,8.49,54.69,87.91,1388.9,623.0,16.85,7686.0,1.37,100.0,0.95,16.12,NPC
2022.12(E),,,,,,,,,,,,,,,,,NPC
2019.12,3754.0,416.0,284.0,11.08,7.56,10.29,97.0,121.29,302.85,1998.0,7.88,20142.0,0.78,750.0,4.76,37.55,삼양패키징
2020.12,3676.0,523.0,323.0,14.22,8.79,10.88,83.44,96.81,333.14,2273.0,9.35,21657.0,0.98,1000.0,4.71,44.0,삼양패키징
2021.12,3919.0,461.0,303.0,11.77,7.73,9.63,90.66,89.78,352.14,2132.0,11.72,22607.0,1.11,1000.0,4.0,46.89,삼양패키징
2022.12(E),4400.0,410.0,290.0,9.32,6.59,8.34,,,,1864.0,9.17,23688.0,0.72,1000.0,,,삼양패키징
2019.12,35525.0,1555.0,1382.0,4.38,3.89,13.1,140.37,76.62,1555.6,1946.0,3.46,15626.0,0.43,200.0,2.97,10.29,대상홀딩스
2020.12,37543.0,2070.0,1648.0,5.51,4.39,14.21,130.78,111.82,1775.13,2360.0,4.32,17589.0,0.58,220.0,2.16,9.33,대상홀딩스
2021.12,42060.0,1630.0,1427.0,3.88,3.39,7.92,143.18,101.03,1889.57,1451.0,6.69,19055.0,0.51,240.0,2.47,16.56,대상홀딩스
2022.12(E),,,,,,,,,,,,,,,,,대상홀딩스
2019.12,1663.0,336.0,283.0,20.18,17.02,13.3,19.38,391.96,2727.68,1593.0,12.91,12734.0,1.62,419.0,2.04,25.56,하나제약
2020.12,1773.0,317.0,149.0,17.87,8.4,6.58,19.02,341.74,2823.05,838.0,28.03,13431.0,1.75,465.0,1.98,53.86,하나제약
2021.12,1964.0,360.0,280.0,18.33,14.26,11.57,20.48,242.47,2785.4,1576.0,12.78,14561.0,1.38,510.0,2.53,31.49,하나제약
2022.12(E),,,,,,,,,,,,,,,,,하나제약
2019.12,49615.0,3654.0,2947.0,7.36,5.94,11.84,72.58,62.07,1518.71,8796.0,8.81,94221.0,0.82,1550.0,4.71,13.87,금호석유우
2020.12,48095.0,7422.0,5830.0,15.43,12.12,20.18,59.64,96.71,1841.63,17405.0,8.33,112845.0,1.28,4250.0,7.67,19.87,금호석유우
2021.12,84618.0,24068.0,19656.0,28.44,23.23,47.76,59.67,112.68,2952.02,58694.0,2.83,181037.0,0.92,10050.0,9.39,14.29,금호석유우
2022.12(E),87311.0,13806.0,11145.0,15.81,12.77,20.19,,,,33710.0,3.68,228182.0,0.54,6250.0,,,금호석유우
2019.12,15977.0,555.0,117.0,3.47,0.73,3.2,255.23,77.65,138.41,323.0,35.65,10676.0,1.08,500.0,4.35,150.62,금호건설
2020.12,18296.0,812.0,264.0,4.44,1.44,6.89,252.88,73.97,137.84,719.0,12.63,10882.0,0.83,500.0,5.51,67.92,금호건설
2021.12,20651.0,1116.0,1481.0,5.4,7.17,28.4,165.92,81.58,210.11,4011.0,2.89,18202.0,0.64,800.0,6.9,19.38,금호건설
2022.12(E),20898.0,850.0,510.0,4.06,2.44,7.78,,,,1373.0,5.27,18212.0,0.4,650.0,,,금호건설
2019.12,107713.0,9418.0,8472.0,8.74,7.87,18.14,1107.36,,1550.79,13724.0,5.28,85684.0,0.84,2962.0,6.69,20.08,한국금융지주우
2020.12,165117.0,8564.0,8600.0,5.19,5.21,16.27,1150.6,,1745.43,14021.0,5.63,96097.0,0.82,3062.0,4.82,20.33,한국금융지주우
2021.12,137861.0,15210.0,17646.0,11.03,12.8,27.12,1004.41,,2328.63,28650.0,2.82,126688.0,0.64,6212.0,9.56,,한국금융지주우
2022.12(E),,10166.0,8615.0,,,11.36,,,,14125.0,3.44,135534.0,0.36,3150.0,,,한국금융지주우
2019.12,7206.0,862.0,793.0,11.96,11.01,10.03,45.22,70.7,3640.1,8988.0,11.24,93600.0,1.08,1300.0,1.29,14.46,종근당홀딩스
2020.12,8581.0,893.0,1136.0,10.4,13.24,15.59,49.76,64.46,4231.03,15704.0,8.12,108138.0,1.18,1400.0,1.1,8.89,종근당홀딩스
2021.12,9260.0,344.0,258.0,3.72,2.79,2.96,62.82,66.03,4307.72,3192.0,23.96,109358.0,0.7,1400.0,1.83,43.3,종근당홀딩스
2022.12(E),,,,,,,,,,,,,,,,,종근당홀딩스
2019.12,6522.0,217.0,-1506.0,3.32,-23.09,-38.45,420.06,24.21,616.03,-1343.0,-2.23,3541.0,0.84,310.0,10.38,-27.24,웅진씽크빅
2020.12,6461.0,140.0,4.0,2.17,0.06,0.23,77.75,145.16,622.96,8.0,354.6,3253.0,0.85,110.0,3.99,1324.14,웅진씽크빅
2021.12,8139.0,268.0,442.0,3.29,5.43,11.81,106.57,108.16,617.84,375.0,8.46,3219.0,0.99,130.0,4.09,33.94,웅진씽크빅
2022.12(E),9680.0,330.0,220.0,3.41,2.27,,,,,182.0,12.49,,,130.0,,,웅진씽크빅
2019.12,2076.0,97.0,114.0,4.67,5.47,2.8,8.08,1188.77,2484.26,344.0,25.72,18539.0,0.48,300.0,3.39,58.14,모토닉
2020.12,1786.0,114.0,149.0,6.36,8.32,3.61,6.71,1501.0,2531.17,450.0,26.21,18978.0,0.62,400.0,3.39,58.82,모토닉
2021.12,1961.0,144.0,120.0,7.32,6.11,2.87,6.96,1424.14,2553.94,363.0,29.22,19169.0,0.55,400.0,3.77,73.01,모토닉
2022.12(E),,,,,,,,,,,,,,,,,모토닉
2019.12,3637,30,-556,0.82,-15.29,-15.37,108.28,64.03,2122.94,-860,-4.09,5273,0.67,-,-,-,엘브이엠씨홀딩스
2020.12,2742,7,-246,0.24,-8.96,-7.20,80.58,87.54,1477.25,-373,-10.33,4223,0.91,,,-,엘브이엠씨홀딩스
2021.12,2049.0,-146.0,-196.0,-7.11,-9.56,-4.45,52.86,62.93,1376.86,-182.0,-20.0,4274.0,0.85,,,,엘브이엠씨홀딩스
2022.12(E),,,,,,,,,,,,,,,,,엘브이엠씨홀딩스
2019.12,8104,-192,-432,-2.37,-5.33,-20.84,327.66,94.71,695.66,-546,-5.57,2391,1.27,-,-,-,티웨이항공
2020.12,2692,-1743,-1379,-64.75,-51.21,-90.15,503.31,61.22,108.89,-1644,-1.40,949,2.42,-,-,-,티웨이항공
2021.12,2144,-1483,-1562,-69.18,-72.88,-190.16,1452.65,38.61,-36.73,-1060,-2.78,305,9.63,,,-,티웨이항공
2022.12(E),,,,,,,,,,,,,,,,,티웨이항공
2019.12,7191.0,122.0,191.0,1.7,2.65,2.65,20.45,322.18,1473.45,414.0,11.41,15748.0,0.3,200.0,4.23,48.24,한국철강
2020.12,6334.0,351.0,-85.0,5.54,-1.34,-1.19,24.68,321.37,1430.12,-184.0,-35.59,15435.0,0.42,200.0,3.06,-107.03,한국철강
2021.12,8867.0,1033.0,973.0,11.65,10.97,13.71,25.83,270.74,1603.43,2112.0,3.67,18601.0,0.42,250.0,3.23,9.98,한국철강
2022.12(E),10178.0,1223.0,780.0,12.01,7.67,10.34,,,,1803.0,3.38,20284.0,0.3,267.0,,,한국철강
2019.12,2020.0,48.0,66.0,2.38,3.27,5.49,98.91,45.83,1708.88,487.0,52.05,9069.0,2.8,100.0,0.39,20.53,삼성출판사
2020.12,1671.0,-45.0,533.0,-2.7,31.88,45.58,68.38,55.61,2759.11,5322.0,4.5,14285.0,1.68,200.0,0.83,3.76,삼성출판사
2021.12,1875.0,80.0,59.0,4.27,3.17,1.9,51.62,79.11,2885.67,316.0,104.93,18982.0,1.75,200.0,0.6,63.3,삼성출판사
2022.12(E),,,,,,,,,,,,,,,,,삼성출판사
2019.12,1549.0,551.0,477.0,35.58,30.78,7.44,13.8,132.65,8184.19,5959.0,5.5,83093.0,0.39,700.0,2.13,11.68,광주신세계
2020.12,1475.0,483.0,432.0,32.75,29.26,6.35,12.34,197.04,8647.66,5395.0,5.67,87753.0,0.35,700.0,2.29,12.91,광주신세계
2021.12,1700.0,606.0,524.0,35.65,30.83,7.26,14.28,231.59,9241.88,6549.0,5.53,93727.0,0.39,1700.0,4.7,25.82,광주신세계
2022.12(E),,,,,,,,,,,,,,,,,광주신세계
2019.12,6714.0,2.0,-102.0,0.03,-1.52,-5.79,137.12,84.33,2012.06,-696.0,-51.99,11554.0,3.13,70.0,0.19,-9.99,제일약품
2020.12,6913.0,129.0,70.0,1.87,1.01,,137.51,75.17,2066.77,470.0,133.1,11800.0,5.3,70.0,0.11,14.79,제일약품
2021.12,7007.0,-105.0,-150.0,-1.5,-2.14,-7.32,154.85,79.75,1970.54,-848.0,-39.91,11534.0,2.93,65.0,0.19,-7.6,제일약품
2022.12(E),,,,,,,,,,,,,,,,,제일약품
2019.12,2320.0,75.0,33.0,3.21,1.41,1.74,108.44,59.07,1701.67,156.0,74.6,9099.0,1.27,150.0,1.29,95.09,삼익THK
2020.12,2639.0,57.0,45.0,2.17,1.69,2.36,104.03,67.51,1716.76,212.0,56.76,9178.0,1.31,150.0,1.24,69.65,삼익THK
2021.12,3105.0,148.0,118.0,4.77,3.8,6.1,91.6,72.92,1787.77,562.0,23.29,9536.0,1.37,300.0,2.29,52.57,삼익THK
2022.12(E),,,,,,,,,,,,,,,,,삼익THK
2019.12,3801,394,295,10.35,7.77,43.70,97.00,72.26,715.93,1411,,3835,-,,,6.78,교촌에프앤비
2020.12,4476.0,410.0,238.0,9.17,5.33,20.4,49.51,129.45,1159.63,1107.0,17.58,6145.0,3.17,200.0,1.03,20.96,교촌에프앤비
2021.12,5076.0,410.0,298.0,8.07,5.88,17.91,41.66,111.15,1358.0,1195.0,13.89,7197.0,2.31,300.0,1.81,25.11,교촌에프앤비
2022.12(E),5517.0,327.0,232.0,5.93,4.21,12.36,,,,929.0,10.93,7829.0,1.3,300.0,,,교촌에프앤비
2019.12,1645.0,169.0,111.0,10.24,6.75,7.12,41.14,191.76,697.95,256.0,20.2,4149.0,1.25,80.0,1.55,27.91,스틱인베스트먼트
2020.12,1741.0,307.0,200.0,17.65,11.47,11.76,38.24,204.77,807.55,470.0,18.97,4731.0,1.88,90.0,1.01,17.35,스틱인베스트먼트
2021.12,3127.0,763.0,581.0,24.39,18.58,28.35,47.26,179.72,1046.56,1391.0,10.57,6111.0,2.41,150.0,1.02,9.76,스틱인베스트먼트
2022.12(E),,,,,,,,,,,,,,,,,스틱인베스트먼트
2019.12,5064,246,83,4.87,1.63,9.46,139.67,60.39,3037.91,445,,5631,-,,,2.96,아주스틸
2020.12,5698,284,117,4.99,2.05,10.65,217.93,57.35,1081.80,625,,5229,-,,,1.53,아주스틸
2021.12,9334.0,553.0,325.0,5.93,3.48,18.76,165.06,61.27,1578.66,1388.0,13.33,8901.0,2.08,,,,아주스틸
2022.12(E),,,,,,,,,,,,,,,,,아주스틸
2019.12,12044.0,295.0,144.0,2.45,1.2,3.22,146.2,70.3,1397.14,153.0,13.02,4940.0,0.4,68.0,3.38,42.15,대한제당
2020.12,12145.0,463.0,227.0,3.81,1.87,4.8,139.51,86.39,1462.04,235.0,9.76,5159.0,0.44,90.0,3.92,35.63,대한제당
2021.12,12613.0,421.0,202.0,3.33,1.6,4.08,131.28,77.32,714.06,210.0,14.4,5313.0,0.57,110.0,3.64,52.61,대한제당
2022.12(E),,,,,,,,,,,,,,,,,대한제당
2019.12,267,7,23,2.63,8.50,,100.17,271.78,179.75,166,24.32,1213,3.33,-,-,-,키다리스튜디오
2020.12,455,46,1,10.08,0.16,0.22,77.10,124.88,241.13,3,3238.63,1469,6.69,,,-,키다리스튜디오
2021.12,1191,69,35,5.81,2.96,2.84,30.23,103.54,1236.96,114,138.91,6419,2.48,,,-,키다리스튜디오
2022.12(E),1786,132,93,7.36,5.21,3.92,,,,245,28.08,6309,1.09,-,,,키다리스튜디오
2019.12,2779.0,165.0,124.0,5.93,4.47,13.56,91.88,192.86,441.9,620.0,8.58,4981.0,1.07,92.0,1.73,21.54,자이에스앤디
2020.12,3562.0,273.0,209.0,7.68,5.87,13.59,154.26,58.89,506.9,718.0,16.29,5578.0,2.1,138.0,1.18,19.21,자이에스앤디
2021.12,4357.0,508.0,365.0,11.66,8.38,,76.54,125.72,683.94,1043.0,8.86,7839.0,1.18,200.0,2.16,21.23,자이에스앤디
2022.12(E),21500.0,2030.0,1260.0,9.44,5.86,23.9,,,,2275.0,2.77,12401.0,0.51,200.0,,,자이에스앤디
2019.12,8344.0,241.0,27.0,2.89,0.32,1.31,278.06,50.49,819.6,117.0,48.63,10229.0,0.56,60.0,1.06,44.87,대동
2020.12,8958.0,331.0,210.0,3.7,2.34,7.74,185.94,44.24,893.13,861.0,7.92,15226.0,0.45,80.0,1.17,8.12,대동
2021.12,11792.0,382.0,347.0,3.24,2.94,10.06,226.67,46.44,1028.07,1414.0,7.14,16953.0,0.6,80.0,0.79,4.94,대동
2022.12(E),13724.0,592.0,,4.31,,,,,,1765.0,5.81,,,,,,대동
2019.12,3072.0,96.0,91.0,3.11,2.96,3.06,25.57,361.97,976.07,326.0,25.46,10856.0,0.77,120.0,1.44,36.34,동화약품
2020.12,2721.0,232.0,287.0,8.51,10.55,9.04,26.59,261.18,1064.44,1021.0,19.25,11999.0,1.64,180.0,0.92,17.43,동화약품
2021.12,2930.0,225.0,196.0,7.68,6.68,5.27,24.34,266.86,1138.05,640.0,22.82,12534.0,1.16,180.0,1.23,27.88,동화약품
2022.12(E),,,,,,,,,,,,,,,,,동화약품
2019.12,8498.0,518.0,250.0,6.1,2.94,2.0,103.27,76.0,559.87,124.0,42.1,6403.0,0.82,200.0,3.83,156.15,동성케미컬
2020.12,8640.0,650.0,372.0,7.52,4.3,2.39,86.78,65.61,570.58,150.0,32.95,6288.0,0.79,250.0,5.06,164.81,동성케미컬
2021.12,9260.0,453.0,424.0,4.89,4.58,5.75,79.17,67.5,591.13,371.0,12.92,6992.0,0.69,200.0,4.17,55.38,동성케미컬
2022.12(E),,,,,,,,,,,,,,,,,동성케미컬
2019.12,4962.0,136.0,80.0,2.74,1.61,1.0,31.86,87.33,5836.41,2940.0,24.35,308735.0,0.23,1500.0,2.09,48.46,일신방직
2020.12,4649.0,135.0,104.0,2.91,2.24,1.42,32.16,69.96,5931.72,4181.0,19.16,313512.0,0.26,1500.0,1.87,33.85,일신방직
2021.12,6010.0,610.0,642.0,10.14,10.68,8.48,31.44,69.76,6431.94,26191.0,4.09,341544.0,0.31,3000.0,2.8,10.81,일신방직
2022.12(E),,,,,,,,,,,,,,,,,일신방직
2019.12,2742.0,92.0,324.0,3.35,11.82,9.59,29.25,224.68,3958.1,1809.0,8.79,20113.0,0.79,334.0,2.1,18.02,삼영무역
