,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당율(%),배당성향(%),회사명
2019.12,1057464.0,36055.0,31856.0,3.41,3.01,4.32,154.71,46.57,4865.48,10761.0,11.2,267549.0,0.45,4100.0,5.16,35.35,현대차2우B
2020.12,1039976.0,23947.0,19246.0,2.3,1.85,2.04,174.22,44.87,4909.48,5144.0,37.33,266968.0,0.72,3100.0,3.46,55.15,현대차2우B
2021.12,1176106.0,66789.0,56931.0,5.68,4.84,6.84,183.17,45.68,5187.27,17846.0,11.71,289609.0,0.72,5100.0,5.05,26.32,현대차2우B
2022.12(E),1374736.0,105945.0,97720.0,7.71,7.11,11.23,,,,32066.0,5.55,322659.0,0.55,5322.0,,,현대차2우B
2019.12,15385.0,2292.0,1311.0,14.9,8.52,6.99,86.97,87.79,265.98,259.0,21.93,3564.0,1.59,420.0,7.41,162.48,쌍용C&E
2020.12,14708.0,2502.0,1382.0,17.01,9.4,7.92,96.89,124.5,3389.32,274.0,24.42,3364.0,1.99,440.0,6.59,160.42,쌍용C&E
2021.12,16614.0,2487.0,1860.0,14.97,11.19,11.12,115.33,69.12,3324.22,369.0,20.89,3296.0,2.34,440.0,5.71,118.85,쌍용C&E
2022.12(E),19174.0,2260.0,1368.0,11.79,7.13,8.37,,,,271.0,22.05,3208.0,1.86,440.0,,,쌍용C&E
2019.12,115035.0,5754.0,4764.0,5.0,4.14,9.12,828.68,,253.08,1584.0,8.02,17974.0,0.71,500.0,3.94,31.7,NH투자증권
2020.12,127678.0,7873.0,5769.0,6.17,4.52,10.32,981.16,,279.91,1921.0,5.88,19352.0,0.58,700.0,6.19,36.51,NH투자증권
2021.12,107622.0,12939.0,9315.0,12.02,8.65,14.77,757.97,,324.87,3067.0,4.08,21630.0,0.58,1050.0,8.4,35.63,NH투자증권
2022.12(E),157132.0,7232.0,4955.0,4.6,3.15,6.97,,,,1441.0,6.28,21195.0,0.43,597.0,,,NH투자증권
2019.12,45096.0,4770.0,2721.0,10.58,6.03,7.05,68.49,62.39,8815.47,2714.0,12.65,39692.0,0.87,1200.0,3.49,44.21,두산밥캣
2020.12,42821,3939,2475,9.20,5.78,6.15,70.86,117.69,9146.38,2468,12.01,40637,0.73,-,-,-,두산밥캣
2021.12,58162.0,5953.0,3859.0,10.24,6.64,9.19,98.57,98.7,9238.4,3849.0,10.59,43105.0,0.95,1200.0,2.94,31.17,두산밥캣
2022.12(E),76395.0,9205.0,4765.0,12.05,6.24,10.73,,,,4753.0,6.16,45472.0,0.64,1250.0,,,두산밥캣
2019.12,57173.0,2959.0,1694.0,5.17,2.96,20.16,283.59,59.33,411.78,4243.0,21.4,24282.0,3.74,350.0,0.39,7.83,호텔신라
